id,date,lat,lng,name,score,text,title,user
review_633788622,2018-11-16,42.691475,23.322126,Daro,100,"My hubby and I like Daro a lot. Every time we go downtown, there is no wondering which place to pick for quick snacks, desserts, gourmet sandwiches.The sandwich with ham and coffee is really tasty and it is our favourite. Apple and cinnamon muffins, cheesecake, quiches, eggs - everything is cooked with care and love.Quite recently, I tried hummus and I must say - one of a kind! The people next to us asked us about it and I could see they were amazed only by the look of it.You can also order catering for your business meetings, cocktail and wedding party.",Definitely worth it! Don't even hesitate - just go there!,05F8AE5BF48224BE1D3D6D8828077C8E
review_601046189,2018-07-30,42.691475,23.322126,Daro,100,"We went for brunch on a Sunday. The restaurant is in the city center, small, and run by two gentlemen who speak English and are quite nice (my partner is Bulgarian, but alas, I am language challenged in this part of Europe). The restaurant has only a few tables, but we had no problem with seating. The food was great: veggie omelet, a spicy omelet (one of the daily specials), and french toast dusted with powdered sugar and drizzled with a mandarin(?) glaze. We also had freshly squeezed juice and espresso. The food was fantastic and cooked to order. There are also pastries and muffins available and there are daily specials that I assume rotate. Just go. You'll like it. A lot. I don't need to say anything more.",Great for brunch,926B7F6E790D8224157E530478E10F93
review_633672353,2018-11-15,42.691475,23.322126,Daro,100,"Excellent for brunch! Very warm, cosy and hospitable atmosphere. Very good relation between price and quality!",Very good,C210C450AF1CF715B9274CB7714F8CFD
review_631846471,2018-11-08,42.691475,23.322126,Daro,100,In the heart of the Sofia! Daro is a cosy small place with many choices for tasty breackfast. Staff is also friendly!,Really nice spot! Tasty breackfast!,1BDE5BBCBCD7827A3F1B8D31276D4640
review_631560531,2018-11-06,42.691475,23.322126,Daro,100,"Very nice and cozy place with excellent options for a fast, easy and delicious meal. The so called coffee sandwich is highly recommended.",One of the best options for fast breakfast and lunch in Sofia city center,7300D35A5C6F5E8DDFFEEBB57A885396
review_631282265,2018-11-06,42.691475,23.322126,Daro,100,"A small, sweet place with delicious sweet and savoury choices. The croque madame was huge and flavorful, and my french toast was well executed! A cheap choice in Sofia center!","Pure taste, ideal for breakfast & brunch",EFB50DEAF9AA4148C98542CF69C26A45
review_631016890,2018-11-05,42.691475,23.322126,Daro,100,"Daro is located very near Vitosha boulevard, Sofia's most walked street. It is a great place to get breakfast. There is a good variety of dishes, from crepes to really nice sandwiches to english breakfast. The coffee is very nice also. I really like the fact that the kitchen has an open-plan design and you can see your food being cooked. The guys running the place are very pleasant. The place has a nice street food vibe as you get served in plastic plates etc. Nice place!",Good breakfast place,207CBCD8F2BD2BA786D053F9219FCD42
review_629300082,2018-10-29,42.691475,23.322126,Daro,100,"Small but great! This place is a small place where you can have exzellent breakfast. English, sweet, local food - you will find everything here. On top very friendly stuff. No worries about the plastic plates and cutlery, the taste is great",Nice breakfast place,E08C4C688E5EEC810F3B000FB5919CDD
review_629097947,2018-10-28,42.691475,23.322126,Daro,100,We called here for lunch after a Free walking Tour of the city. Lovely friendly staff/owner. Great menu and the food we chose was very tasty. It's only a small place but very welcoming.,Great little find,8ABF06F442D94CDDFC40C96034F9BF67
review_626891611,2018-10-21,42.691475,23.322126,Daro,100,"Very cozy, little and bright place with different options for breakfast, brunch and lunch! We have enjoyed omelette, English breakfast, banica and fried toasts with chocolate topping. Everything was really nice! We will definitely come again’",Really good breakfast x brunch,C5EA851ED3665DCA26629D9593BDE64A
review_636928794,2018-12-01,42.69975,23.326475,Skaptobara,100,"We were 10 friends and we were all pretty happy by our burgers. The fries with the jalapenos and the ones with the spicy chicken were our favorite ones. The service was really good! Cherry on the top, they had good music and they helped us to find nice places for our birthday night party.",Dinner with friends,9B65AEA6B3264D478C3C22FB18439A67
review_610249025,2018-08-25,42.69975,23.326475,Skaptobara,100,"Went here twice for some comfort food. The burgers and craft beer are great.The staff are incredibly friendly (which is rare in the region) and really knowledgable about the beer.We were lucky to get the same waitress twice, Christina is super helpful and enthusiastic, with a great smile",Best and friendliest service in Bulgaria,6B6499BEC0F39562FDE0A5D4EDD47CC5
review_636294030,2018-11-28,42.69975,23.326475,Skaptobara,100,"Burgers were good, but the place is not up to its hype . I expected something different judging by the ratings on tripadvisor.",Small burger place,5D5A867EDC84C5939DDC08BCC62B9C27
review_635431531,2018-11-24,42.69975,23.326475,Skaptobara,100,Very delicious burger... Very good quality of meat! Staffs are friendly and kind.. And the best they have a warm and friendly atmosphere... Stay cool guys!!!👏👏👏🔝,Beautiful place,633FE0BBC0B0C12509119A879D62977A
review_635247812,2018-11-23,42.69975,23.326475,Skaptobara,100,"We've visited Skaptobara on several occasions during our trip to Sofia, and every time food was fantastic and service great. Very affordable prices also, must go if you are in Sofia and love great burger!",Best burger ever,B16C758A0102ABB1A862D117F56017F6
review_635016679,2018-11-22,42.69975,23.326475,Skaptobara,100,"Checked out the trip advisor for some good burger places in the area, and the reviews were right! Great place, great food and great people!",Great burgers!,E40D7757BFCECCCFB11D18C42BF90F4D
review_634678957,2018-11-20,42.69975,23.326475,Skaptobara,100,"I was in the city for business. A friend of miney took me to this funky venue. As a burger lover I have high standards ! Well, these burgers mean business. They are big and juicy. The double burgers are extremely big and exteremely juicy.It is a must try place if you visit Sofia.",Must try if you like burgers,BE12F8A011E9780E37A8CF7363906394
review_633481813,2018-11-14,42.69975,23.326475,Skaptobara,100,"Very good burgers, cute place, excellent service! Burgers are not too big (which is a good thing)... if you are really hungry, get a double...or you will be tempted to order a second one :) If you like jalapenos, go for the house special.",Yummy Burgers!!!,CEB8B2F765EE5301FE4DE81C9CAE45D1
review_633441074,2018-11-14,42.69975,23.326475,Skaptobara,100,"Many places go for this ""hipsterish"" vibe, but this one nails it! Cool interior, tasty food and kind staff.",Great vibe feat. great burgers!,6F1F4DB4E8F27711C064ADBD6B0BFA14
review_632906417,2018-11-12,42.69975,23.326475,Skaptobara,100,A must very good and friendly people. Excellent service and delicious burgers. I like how the place feel.,Excellent service and delicious burgers,B4B17E271DB5660006525493B172A8B4
review_635614205,2018-11-25,42.684517,23.322477,Aubergine,80,"Nice place to have a dinner in Sofia. Large menu with nice mix of local ingredients and international influences. We had stuffed aubergine and grilled rooster , both delicious and spicy. As dessert we took the mascarpone with white chocolate and mango.",Nice dinner,40844D13F2DD2F890D1C7B17E4B5299F
review_635597859,2018-11-25,42.684517,23.322477,Aubergine,80,"My husband and I really enjoy food and when I saw the name wanted to see what the restaurant had for dinner. We were amazed at the Roasted Goat Cheese and with Pomegranate Molasses with roasted Strawberries in port wine and clove appetizer. The beer pairing was spot on. This was followed by our main courses. Mine was Yellowtail tuna steak with black sesame seeds, a plum and parsnip purée, and cucumber, zucchini, and carrot strips salad. My husband had Spicy Cauliflower Ragout with yellow curry, coconut milk, Arab bread with a kefir and lime sauce.And for dessert we had the cheesecake of the day. It was so good we booked a reservation to return. We had two salads the second night and the Duck Leg Confit and Roasted Pork Ribs.",Outstanding Food,4605E1E0C6A811ADDC34F0771B6D42F5
review_635257266,2018-11-23,42.684517,23.322477,Aubergine,80,"My boyfriend took me there for a birthday dinner and we were not disappointed (we'd found the place on Tripadvisor and had been meaning to visit for ages). The food was really tasty, we had a bottle of red wine from Australia, I think it was around 50-60lv - that was amazing! We were stuffed, so we didn't order desserts, but the starters and mains were really good. The atmosphere was nice too. Will definitely visit again :)",Lovely food and atmosphere!,316B9C575793FBA32899C3A654B2187D
review_629709362,2018-10-30,42.684517,23.322477,Aubergine,80,"Tried several highly rated places in Sofia following TripAdvisor reviews and found them overrated. Then I went to Aubergine based solely on the local friend's advice and was pleasantly surprised. I would say it's true joy for a fusion cuisine fans, with some local cuisine hints too. Very tasty and interesting meals, well presented, and also cheerful service. Truly recommended.",Will surely come back,73F82D9392AAEEA7E00910C16BFBCE6B
review_628515543,2018-10-26,42.684517,23.322477,Aubergine,80,"We visited Aubergine after reading the reviews on Trip advisor and even though we were not disappointed, we found the reviews to be a bit overrated. The restaurant is a converted two floor house. We found the decor to be a bit cheap and the sitting arrangement in the lower floor where we sat was uncomfortable (converted pallets).The service was good although our waiter was not in a good mood and answered a bit aggressively to a couple of our requests.The food was well cooked and tasty and the choice of craft beer extensive.If I only compare this place with other restaurants in Sofia, I would give it a four rating, in general I think our experience was average.",Average,A43325CAE4371009B44D27D601E850EA
review_628201998,2018-10-25,42.684517,23.322477,Aubergine,80,"The place is well hidden and unpretentious, but overall a great experience (do not expect a fancy place). I started with a salad (grilled and marinated red sweet pepper and eggplant with tomatoes and cheese); very good! As a main I had the yellowfin tuna, which was well made (but not 100% my taste). The side dish was mushed sweet potato (with sth else inside, but I could not figure it out) and cucumber/carrot slices, also not my favorit, but somehow it worked ok together.They have a nice selection of Craft Beer und Wines.Very nice Service, therefore 5 points, even if the main course was only at 4 points.","Unpretentious, but a great experience",5D22158A000795A9831D991708F85B79
review_627529000,2018-10-23,42.684517,23.322477,Aubergine,80,"visited many times already, never let me down excellent food, very good local craft beer probably the best in Sofia",A guarantee....,D7CAD9F3265694CCF2E1F99006A72253
review_627514457,2018-10-23,42.684517,23.322477,Aubergine,80,"Situated on a narrow quiet back street, we would never have found this place without TripAdvisor.We are so glad we did, what a lovely quaint place, you can sit inside or outside. It was quiet when we were there, the staff are very friendly and helpful, the food is fabulous and very reasonably priced.We had a lovely time and would highly recommend.",What a find,D9D82E9586D7A71341C1BCEE527227A4
review_627411579,2018-10-23,42.684517,23.322477,Aubergine,80,"We sought out this restaurant because it was near our hotel (the Hilton) and it has such good reviews. We were so delighted with our first visit that we booked for a return visit. Our waitress spoke excellent English and when we commented on their chef she explained that the whole team helped to create the dishes, and this manifested itself in lovely combinations of tastes in both the main courses and the desserts - in everything great attention to detail. We were a party of four and we were all well satisfied with our choices.",Exceptionally tasty food,C3B4B5EC7F08A896B005E91DAA4D5930
review_627015065,2018-10-21,42.684517,23.322477,Aubergine,80,Went here with my daughter after reading the reviews. It was very close to where we were living near European Union metro station.The restaurant is on th first floor with a very nice and welcoming interior.They have a variety of craft beers and a very extensive menu. The waiters are very friendly and helpful. I ordered a sea bream and my daughter ordered the pork ribs. Both were really nice. We finished with a chocolate cake which wad delicious.Food is priced at 8-10 euros for a main which is not bad for a restaurant of this quality.Only reason for a 4 star is that the food is really good but not extra special as you would expect from a restaurant that is rated #3 in Sofia.Thoroughly recommend.,Very nice ambience and variety of wholesome food,4229A4361E5310248762825F79204519
review_635324585,2018-11-23,42.698208,23.33198,Vino & Tapas,80,Very friendly staff who explained us the different wines. We tried 2 Bulgarian red wines which tasted delicious. We had also the plate with Bulgarian cheese and foccacia with salmon. Both very tasty,Glass of wine & tapas,40844D13F2DD2F890D1C7B17E4B5299F
review_634910056,2018-11-21,42.698208,23.33198,Vino & Tapas,80,Hidden gem! During our short visit in the city we went to this place. The food was excellent along with their wine. Note: the restaurant is located in the first floor and the sign is not easily visible from the road.,Excellent food,7F4D42A15A9EDB20228C573AD1FFA613
review_633816665,2018-11-16,42.698208,23.33198,Vino & Tapas,80,"I visited Vino & Tapas on the last night of my trip to Sofia and I regret not finding it early as I would have eaten there every night of my trip. The food is amazing, the tapas dishes are very big and well worth the money. The wine selection was also fantastic, I wasn't sure what I wanted and a waitress recommended a wine that was amazing.I'd recommend this restaurant to anyone visiting Sofia.",The most enjoyable meal I had in Sofia,4FC1BF63BC19E91315B2113EDB51B357
review_632726649,2018-11-11,42.698208,23.33198,Vino & Tapas,80,"We entered and immediately feeled very welcome. They were very kind and helped us witch our choises and gave a good explanation with the wine (which was very good!!) We also enjoyed every bite of the food. So the combo of food and service was absolutely awesome! The price was also very good! They even went outside to call us a taxi while we wanted to do it ourselves but they stood on it, so nice!",Perfect combo,C16F48FD295A4091804F61234DDDE04D
review_631971647,2018-11-08,42.698208,23.33198,Vino & Tapas,80,I was in Sofia today and I had to eat something in a hurry and I was around wine &tapas I trusted myself with the entry of cool atmosphere of cool waiters and last but not least Food I tried spicy pork ribbsand really were probably the best in town .. I recommend everyone :),Best food in town,3340BAA5CDF76F2B3469768BA96CFF24
review_631653639,2018-11-07,42.698208,23.33198,Vino & Tapas,80,"Really nice ambiance with correct waiters, pefect food and delicious wine. It's a must go when being in Sofia, but do make a reservation especially in the weekend.",Must go in Sofia,429C7C9C985456FC9C3574F7C9B65AE4
review_629895302,2018-10-31,42.698208,23.33198,Vino & Tapas,80,"The food was seriously good, I could have licked the plate of the chicken and prawns in period sauce, not to mention the very decadent chocolate mousse.Wine selection was excellent - local and international wines to try.It's only tiny - so bookings are essential - worth it though!",Outstanding!,E494647D0C69AABD63480A31AF9F0202
review_627774098,2018-10-24,42.698208,23.33198,Vino & Tapas,80,A true recommendation for all visitors of Sofia! Food was great. Wine information was geeat and suited the food really well. Hospitality really nice and friendly. We had a great time in this restaurant.,Must Go,CCD50DA728784859A70051F1C7FD4A8E
review_624518009,2018-10-13,42.698208,23.33198,Vino & Tapas,80,"Was nice evening in this small romantic restaurant, food was very good and stuff are good. Recommend it",Good place,667EC47290AEC5E062F2958A8DE67AA5
